Date,FeedIn,SelfConsumption,Production,Consumption,Purchased
2018-10-19 00:00:00,9198.0,8849.0,18047.0,16866.0,8017.0
2018-10-20 00:00:00,14741.0,10184.0,24925.0,19371.0,9187.0
2018-10-21 00:00:00,5752.0,9180.0,14932.0,18786.0,9606.0
2018-10-22 00:00:00,22860.0,7094.0,29954.0,15941.0,8847.0
2018-10-23 00:00:00,9601.0,10291.0,19892.0,18681.0,8390.0
2018-10-24 00:00:00,7117.0,8996.0,16113.0,18087.0,9091.0
2018-10-25 00:00:00,21328.0,6673.0,28001.0,14468.0,7795.0
2018-10-26 00:00:00,14883.0,8191.0,23074.0,16477.0,8286.0
2018-10-27 00:00:00,455.0,1715.0,2170.0,11323.0,9608.0
2018-10-28 00:00:00,360.0,1402.0,1762.0,15048.0,13646.0
2018-10-29 00:00:00,512.0,1462.0,1974.0,15203.0,13741.0
2018-10-30 00:00:00,1047.0,2602.0,3649.0,15618.0,13016.0
2018-10-31 00:00:00,4909.0,6026.0,10935.0,21730.0,15704.0
2018-11-01 00:00:00,13433.0,7164.0,20597.0,15472.0,8308.0
2018-11-02 00:00:00,3569.0,2765.0,6334.0,13516.0,10751.0
2018-11-03 00:00:00,7223.0,4077.0,11300.0,8884.0,4807.0
2018-11-04 00:00:00,1281.0,1486.0,2767.0,11102.0,9616.0
2018-11-05 00:00:00,3489.0,6896.0,10385.0,16103.0,9207.0
2018-11-06 00:00:00,3657.0,6510.0,10167.0,16277.0,9767.0
2018-11-07 00:00:00,9981.0,9389.0,19370.0,19928.0,10539.0
2018-11-08 00:00:00,5835.0,3335.0,9170.0,13950.0,10615.0
2018-11-09 00:00:00,5005.0,7745.0,12750.0,14517.0,6772.0
2018-11-10 00:00:00,6292.0,5976.0,12268.0,19259.0,13283.0
2018-11-11 00:00:00,12647.0,8444.0,21091.0,17447.0,9003.0
2018-11-12 00:00:00,13357.0,9296.0,22653.0,16381.0,7085.0
2018-11-13 00:00:00,622.0,1151.0,1773.0,17625.0,16474.0
2018-11-14 00:00:00,412.0,1957.0,2369.0,17915.0,15958.0
2018-11-15 00:00:00,455.0,1819.0,2274.0,13982.0,12163.0
2018-11-16 00:00:00,121.0,1216.0,1337.0,14078.0,12862.0
2018-11-17 00:00:00,11121.0,9983.0,21104.0,16714.0,6731.0
2018-11-18 00:00:00,1435.0,2125.0,3560.0,24196.0,22071.0
2018-11-19 00:00:00,656.0,1394.0,2050.0,13940.0,12546.0
2018-11-20 00:00:00,1759.0,2529.0,4288.0,17068.0,14539.0
2018-11-21 00:00:00,544.0,2597.0,3141.0,18669.0,16072.0
2018-11-22 00:00:00,1979.0,2093.0,4072.0,14452.0,12359.0
2018-11-23 00:00:00,825.0,1285.0,2110.0,13211.0,11926.0
2018-11-24 00:00:00,8990.0,10442.0,19432.0,17950.0,7508.0
2018-11-25 00:00:00,459.0,1783.0,2242.0,16823.0,15040.0
2018-11-26 00:00:00,89.0,887.0,976.0,15210.0,14323.0
2018-11-27 00:00:00,133.0,1262.0,1395.0,17274.0,16012.0
2018-11-28 00:00:00,2512.0,3156.0,5668.0,17687.0,14531.0
2018-11-29 00:00:00,3949.0,2208.0,6157.0,14912.0,12704.0
2018-11-30 00:00:00,470.0,1673.0,2143.0,15642.0,13969.0
2018-12-01 00:00:00,5663.0,6415.0,12078.0,21156.0,14741.0
2018-12-02 00:00:00,0.0,957.0,957.0,24215.0,23258.0
2018-12-03 00:00:00,1438.0,1967.0,3405.0,14876.0,12909.0
2018-12-04 00:00:00,1334.0,1774.0,3108.0,17564.0,15790.0
2018-12-05 00:00:00,1123.0,2678.0,3801.0,19742.0,17064.0
2018-12-06 00:00:00,3101.0,2793.0,5894.0,13544.0,10751.0
2018-12-07 00:00:00,3599.0,5707.0,9306.0,16246.0,10539.0
2018-12-08 00:00:00,2322.0,2176.0,4498.0,16981.0,14805.0
2018-12-09 00:00:00,1764.0,1972.0,3736.0,17987.0,16015.0
2018-12-10 00:00:00,1590.0,1579.0,3169.0,15728.0,14149.0
2018-12-11 00:00:00,3490.0,5199.0,8689.0,18190.0,12991.0
2018-12-12 00:00:00,7209.0,9254.0,16463.0,19816.0,10562.0
2018-12-13 00:00:00,5153.0,9826.0,14979.0,17072.0,7246.0
2018-12-14 00:00:00,2786.0,1691.0,4477.0,15043.0,13352.0
2018-12-15 00:00:00,1265.0,2980.0,4245.0,20090.0,17110.0
2018-12-16 00:00:00,1734.0,2489.0,4223.0,22221.0,19732.0
2018-12-17 00:00:00,1772.0,1520.0,3292.0,16186.0,14666.0
2018-12-18 00:00:00,497.0,2681.0,3178.0,20686.0,18005.0
2018-12-19 00:00:00,894.0,2116.0,3010.0,17221.0,15105.0
2018-12-20 00:00:00,3983.0,6159.0,10142.0,17510.0,11351.0
2018-12-21 00:00:00,0.0,279.0,279.0,14584.0,14305.0
2018-12-22 00:00:00,179.0,1495.0,1674.0,20958.0,19463.0
2018-12-23 00:00:00,0.0,712.0,712.0,25437.0,24725.0
2018-12-24 00:00:00,46.0,1504.0,1550.0,23971.0,22467.0
2018-12-25 00:00:00,429.0,2339.0,2768.0,21329.0,18990.0
2018-12-26 00:00:00,2646.0,1310.0,3956.0,13318.0,12008.0
2018-12-27 00:00:00,2142.0,1303.0,3445.0,8910.0,7607.0
2018-12-28 00:00:00,3117.0,1469.0,4586.0,8550.0,7081.0
2018-12-29 00:00:00,380.0,958.0,1338.0,8172.0,7214.0
2018-12-30 00:00:00,1531.0,1172.0,2703.0,9556.0,8384.0
2018-12-31 00:00:00,1149.0,1879.0,3028.0,22081.0,20202.0
2019-01-01 00:00:00,678.0,1983.0,2661.0,19714.0,17731.0
